"Kyn";"Ár";"Reykja daglega"
"Alls";"1987";33.0
"Alls";"1988";32.5
"Alls";"1989";32.0
"Alls";"1990";30.3
"Alls";"1991";30.5
"Alls";"1992";28.9
"Alls";"1993";26.6
"Alls";"1994";26.9
"Alls";"1995";26.8
"Alls";"1996";28.1
"Alls";"1997";27.3
"Alls";"1998";25.0
"Alls";"1999";25.2
"Alls";"2000";22.9
"Alls";"2001";23.6
"Alls";"2002";21.6
"Alls";"2003";22.4
"Alls";"2004";20.2
"Alls";"2005";19.5
"Alls";"2006";19.3
"Alls";"2007";19.4
"Alls";"2008";17.8
"Alls";"2009";15.8
"Alls";"2010";14.3
"Alls";"2011";14.4
"Alls";"2012";13.9
"Alls";"2013";11.6
"Alls";"2014";12.6
